Date,Time of Practice,Sex,Menstrual Cycle,Recent Fasting,Ekadashi Fast,Bhuta Shuddhi Done,Surya Kriya Done,Shambhavi Mahamudra Kriya Done,Shakti Chalana Kriya Done,Suka Kriya & AUM Chanting Done,Shoonya Meditation Done,Nadi Vibhajan (Morning),Padahastasana (Morning),Konasana (Morning),Trikonasana (Morning),Vrikshasana (Morning),Ekapada & Dwipada Utthanpadasana (Morning),Shalabhasana (Morning),Makarasana (Morning),Naukasana (Morning),Bhujangasana (Morning),Dhanurasana (Morning),Paschimottanasana (Morning),Janu Shirasasana (Morning),Matsyendrasana (Morning),Sarvangasana (4-step sequence) (Morning),Ardhamatsyasana (Morning),Spinal Twist (3 variations) (Morning),Mandukasana (Morning),Sushanti Meditation (Morning),Patangasana (Morning),Shishupalasana (Morning),Yoga Mudra (Morning),Lolasana (Morning),Uddyana Bandha (Morning),Nadi Vibhajan (Evening),Padahastasana (Evening),Konasana (Evening),Trikonasana (Evening),Vrikshasana (Evening),Ekapada & Dwipada Utthanpadasana (Evening),Shalabhasana (Evening),Makarasana (Evening),Naukasana (Evening),Bhujangasana (Evening),Dhanurasana (Evening),Paschimottanasana (Evening),Janu Shirasasana (Evening),Matsyendrasana (Evening),Sarvangasana (4-step sequence) (Evening),Ardhamatsyasana (Evening),Spinal Twist (3 variations) (Evening),Mandukasana (Evening),Sushanti Meditation (Evening),Patangasana (Evening),Shishupalasana (Evening),Yoga Mudra (Evening),Lolasana (Evening),Uddyana Bandha (Evening),Showered Before Asanas (Morning),Showered Before Asanas (Evening),General Notes
2026-08-19,05:30,Female,,none,No Fast,Yes,,No,,Yes,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,4,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-08-20,05:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,4,4,3,4,4,3,4,4,3,4,3,4,3,,,,3,3,3,4,4,3,3,4,4,4,3,3,4,4,4,4,3,3,4,4,4,,,,4,3,4,3,3,3,4,Yes,Yes,Very calm practice.
2026-08-21,06:00,Female,,none,No Fast,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22,05:30,Female,,none,No Fast,Yes,,No,,Yes,,3,3,3,3,3,3,3,4,3,4,3,4,4,4,,,,4,4,4,4,3,4,3,3,4,3,4,4,4,4,3,3,3,4,3,4,4,,,,3,4,4,3,4,4,3,No,No,"Strong, easy practice today."
2026-08-23,06:30,Female,,none,No Fast,Yes,,Yes,,Yes,,4,4,3,4,4,3,4,4,3,3,4,4,4,4,,,,4,4,3,4,4,3,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,,,,3,4,4,3,4,4,3,Yes,No,Felt energetic and steady.
2026-08-24,06:30,Female,,half-day,Half Fast,Yes,,Yes,,Yes,,3,2,3,2,2,3,3,3,3,3,3,3,3,3,,,,3,3,3,2,3,3,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,,,,3,2,3,3,3,3,3,Yes,Yes,
2026-08-25,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,2,2,3,3,2,2,3,3,2,3,2,2,,,,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3,,,,3,2,3,3,3,3,2,No,Yes,
2026-08-26,05:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,3,3,3,3,2,3,3,2,2,3,2,,,,2,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,,,,3,3,2,2,3,3,3,Yes,Yes,
2026-08-27,05:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,3,3,3,3,3,3,3,2,3,3,3,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,2,3,3,3,3,Yes,Yes,
2026-08-28,06:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,4,3,3,3,4,4,4,4,4,3,4,4,,,,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,3,4,3,3,4,3,,,,3,3,3,3,3,4,4,Yes,Yes,
2026-08-29,06:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,,,,3,3,2,3,3,3,3,Yes,No,
2026-08-30,17:30,Female,,none,No Fast,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,3,3,3,3,4,3,4,3,,,,3,4,3,3,3,3,3,,Yes,
2026-08-31,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,4,3,3,3,3,3,3,3,3,3,4,3,3,3,,,,3,4,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-09-01,05:30,Female,,none,No Fast,Yes,,No,,Yes,,3,3,3,4,3,3,4,3,3,3,3,3,3,3,,,,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,4,3,4,3,Yes,Yes,
2026-09-02,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,4,3,3,4,3,3,3,3,3,3,4,3,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-09-03,19:00,Female,,none,No Fast,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,2,3,3,3,3,3,,,,3,3,3,3,3,3,3,,Yes,
2026-09-04,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3,Yes,Yes,
2026-09-05,06:00,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,No,,
2026-09-06,06:30,Female,,none,No Fast,Yes,,Yes,,Yes,,2,2,2,2,2,2,2,2,3,2,2,3,2,2,,,,3,2,2,2,2,2,2,3,3,2,3,2,2,3,2,2,2,2,2,2,2,,,,3,2,2,3,2,2,2,Yes,Yes,"Tired going in, tough practice."
2026-09-07,05:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,2,2,3,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,No,,"Tired going in, tough practice."
2026-09-08,05:15,Female,,full-day,Full Fast,Yes,,Yes,,Yes,,2,2,2,2,3,3,2,2,2,2,3,2,2,3,,,,2,2,2,3,3,3,3,3,2,3,3,3,2,3,3,2,3,2,2,2,2,,,,2,3,2,2,2,3,2,Yes,Yes,"Rushed session, short on time."
2026-09-09,05:15,Female,,none,No Fast,Yes,,No,,Yes,,2,2,2,2,2,1,1,2,2,1,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,1,2,2,2,2,2,2,Yes,Yes,Body felt stiff and low energy.
2026-09-10,06:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,2,3,3,3,3,3,3,3,3,3,3,3,2,,,,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,2,3,3,Yes,No,
2026-09-11,06:00,Female,,none,No Fast,Yes,,No,,Yes,,3,3,3,3,4,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,,,,3,4,3,3,4,3,4,Yes,No,
2026-09-12,06:00,Female,,none,No Fast,Yes,,Yes,,Yes,,3,4,3,3,4,3,4,4,4,3,4,3,3,3,,,,4,4,4,3,3,4,4,3,3,4,4,3,4,3,4,3,4,4,3,3,4,,,,3,4,3,4,3,3,4,No,No,"Strong, easy practice today."
2026-09-13,07:00,Female,,full-day,Full Fast,Yes,,Yes,,Yes,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,,,,3,3,2,3,3,2,3,Yes,Yes,
2026-09-14,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,4,4,4,3,4,4,4,3,3,4,4,4,3,3,,,,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,,,,3,4,3,4,4,4,3,Yes,Yes,Felt energetic and steady.
2026-09-15,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,,,,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,,,,2,1,2,2,1,2,2,Yes,No,"Rushed session, short on time."
2026-09-16,07:00,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,4,4,3,3,3,3,3,3,3,3,3,3,,,,3,4,3,4,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,,,,3,3,3,3,3,3,3,No,Yes,
2026-09-17,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,,,,4,3,4,3,3,3,3,Yes,Yes,
2026-09-18,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,2,2,2,2,2,1,2,2,1,1,1,1,2,2,,,,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,2,,,,2,2,1,1,2,1,2,No,No,"Rushed session, short on time."
2026-09-19,06:00,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,3,2,3,3,3,2,3,3,2,3,3,,,,2,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-09-20,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,3,3,2,3,3,3,2,3,2,3,3,,,,3,2,3,2,3,3,3,3,3,2,3,3,2,3,3,3,2,3,2,3,3,,,,3,3,3,2,2,2,3,Yes,No,Completed a 40-day Mandala of Bhuta Shuddhi today!
2026-09-21,07:00,Female,,full-day,Full Fast,Yes,,No,,Yes,,2,3,3,3,3,3,3,3,3,2,3,3,3,3,,,,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,3,,,,3,3,3,3,3,2,3,No,Yes,Good stretch after a long day.
