Date,Time of Practice,Sex,Meal Status,Time of Last Meal,Recent Fasting,Bhuta Shuddhi Done,Surya Kriya Done,Shambhavi Mahamudra Kriya Done,Shakti Chalana Kriya Done,Suka Kriya & AUM Chanting Done,Shoonya Meditation Done,Nadi Vibhajan (Morning),Padahastasana (Morning),Konasana (Morning),Trikonasana (Morning),Vrikshasana (Morning),Ekapada & Dwipada Utthanpadasana (Morning),Shalabhasana (Morning),Makarasana (Morning),Naukasana (Morning),Bhujangasana (Morning),Dhanurasana (Morning),Paschimottanasana (Morning),Janu Shirasasana (Morning),Matsyendrasana (Morning),Sarvangasana (4-step sequence) (Morning),Ardhamatsyasana (Morning),Spinal Twist (3 variations) (Morning),Mandukasana (Morning),Sushanti Meditation (Morning),Patangasana (Morning),Shishupalasana (Morning),Yoga Mudra (Morning),Lolasana (Morning),Uddyana Bandha (Morning),Nadi Vibhajan (Evening),Padahastasana (Evening),Konasana (Evening),Trikonasana (Evening),Vrikshasana (Evening),Ekapada & Dwipada Utthanpadasana (Evening),Shalabhasana (Evening),Makarasana (Evening),Naukasana (Evening),Bhujangasana (Evening),Dhanurasana (Evening),Paschimottanasana (Evening),Janu Shirasasana (Evening),Matsyendrasana (Evening),Sarvangasana (4-step sequence) (Evening),Ardhamatsyasana (Evening),Spinal Twist (3 variations) (Evening),Mandukasana (Evening),Sushanti Meditation (Evening),Patangasana (Evening),Shishupalasana (Evening),Yoga Mudra (Evening),Lolasana (Evening),Uddyana Bandha (Evening),Showered Before Asanas (Morning),Showered Before Asanas (Evening),General Notes
2026-08-02,07:15,Male,After a full meal,13:00,No recent fast,Yes,No,No,No,Yes,Yes,3,1,3,1,3,3,3,2,4,3,2,2,3,3,3,4,3,3,4,3,2,2,4,2,2,3,3,2,1,4,2,2,4,2,4,3,2,1,4,2,3,3,3,3,3,3,4,2,Yes,Yes,Slight lower-back stiffness | Slight fatigue from work
2026-08-03,06:10,Male,After a light snack,13:10,No recent fast,Yes,Yes,Yes,No,Yes,Yes,2,2,3,2,3,4,3,2,3,2,3,3,3,4,4,2,2,2,3,2,1,1,2,4,4,3,4,3,3,3,2,1,4,3,4,3,1,3,1,2,3,2,4,2,3,3,4,2,Yes,No,"Rushed session, short on time | Felt great"
2026-08-04,05:30,Male,After a light snack,20:15,No recent fast,Yes,Yes,Yes,Yes,No,Yes,2,3,2,2,1,1,3,3,2,2,3,3,3,3,4,4,3,3,4,3,3,3,4,4,1,4,3,4,4,3,3,2,3,2,3,3,3,4,3,3,1,2,3,4,3,1,3,4,Yes,Yes,Felt energetic | Felt great
2026-08-05,06:10,Male,Before a meal (empty stomach),11:15,No recent fast,Yes,Yes,No,Yes,No,No,3,2,2,2,3,3,3,3,3,1,2,2,2,3,4,4,1,4,3,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Felt energetic
2026-08-06,,Male,Before a meal (empty stomach),14:20,No recent fast,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Planned rest day
2026-08-07,,Male,Before a meal (empty stomach),15:20,No recent fast,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Travel - no session
2026-08-08,07:20,Male,After a light snack,15:20,No recent fast,Yes,Yes,Yes,Yes,Yes,Yes,3,2,1,3,4,2,4,2,1,3,4,3,3,4,3,3,2,3,2,4,4,4,2,3,3,1,3,3,4,3,3,4,4,3,1,3,3,4,4,3,3,3,3,3,3,2,3,4,Yes,Yes,Good stretch after desk work
2026-08-09,,Male,After a full meal,18:30,No recent fast,Yes,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,"Feeling unwell, skipped practice"
2026-08-10,07:30,Male,After a full meal,07:20,No recent fast,Yes,No,No,No,Yes,Yes,4,3,3,4,1,4,2,2,2,3,3,4,2,1,4,3,2,4,2,3,2,2,1,4,3,2,3,2,3,3,3,2,4,2,3,3,2,3,3,4,2,4,3,2,3,3,3,1,Yes,Yes,Steady breathing throughout | Felt great
2026-08-11,07:45,Male,After a full meal,21:45,Half-day fast,Yes,No,Yes,Yes,Yes,Yes,3,3,4,3,4,3,2,3,3,3,2,2,3,2,2,3,4,3,4,4,2,4,3,4,4,4,3,1,3,2,3,3,3,4,3,2,3,2,2,2,3,2,3,3,2,3,3,3,Yes,No,"Rushed session, short on time | Felt great"
2026-08-12,06:15,Male,After a light snack,13:30,No recent fast,No,No,Yes,Yes,Yes,No,2,2,3,3,2,4,3,3,3,3,4,3,4,3,4,2,3,2,3,2,2,4,2,4,2,3,2,2,4,3,3,3,3,1,4,2,2,3,1,3,2,2,4,2,2,4,1,4,Yes,No,"Rushed session, short on time | Slight fatigue from work"
2026-08-13,05:10,Male,Before a meal (empty stomach),14:45,No recent fast,No,Yes,Yes,No,Yes,Yes,1,3,3,3,3,3,3,2,3,4,1,4,4,3,3,4,1,3,3,3,3,4,1,2,2,2,3,3,3,3,3,2,3,3,4,2,3,4,3,4,3,4,3,4,3,3,2,2,Yes,No,Great focus | Good stretch after desk work
2026-08-14,07:00,Male,After a light snack,10:30,Half-day fast,Yes,No,Yes,Yes,No,No,3,3,2,2,2,3,3,4,3,4,3,2,3,2,3,2,2,4,2,3,3,4,4,4,3,3,3,3,3,3,1,2,3,4,2,2,2,3,1,3,4,2,3,2,3,2,2,2,Yes,No,Felt great
2026-08-15,06:10,Male,After a full meal,08:00,No recent fast,No,Yes,Yes,Yes,Yes,Yes,2,3,2,2,3,3,3,2,2,4,1,2,4,3,3,2,2,3,3,2,3,2,3,3,1,4,1,1,4,4,3,3,3,3,2,1,2,4,3,4,4,2,4,2,3,3,3,2,Yes,No,Steady breathing throughout | Good stretch after desk work
2026-08-16,07:45,Male,Before a meal (empty stomach),16:45,No recent fast,Yes,Yes,Yes,No,Yes,No,2,2,2,2,2,3,1,4,3,3,3,3,3,4,3,4,2,4,2,3,3,3,4,3,3,2,3,1,4,1,4,4,3,3,3,3,4,4,3,4,3,2,3,2,1,2,4,2,Yes,Yes,Steady breathing throughout
2026-08-17,06:45,Male,Before a meal (empty stomach),11:00,No recent fast,Yes,Yes,Yes,Yes,Yes,Yes,2,3,4,3,1,2,3,2,3,3,4,4,2,3,2,2,4,3,3,3,4,2,2,4,2,3,4,4,4,2,3,3,1,2,4,2,3,2,4,2,2,4,3,3,3,3,3,4,Yes,Yes,Felt great
2026-08-18,07:30,Male,Before a meal (empty stomach),18:05,No recent fast,No,No,No,Yes,Yes,Yes,2,3,2,3,3,3,2,4,3,4,2,4,4,3,2,3,3,4,4,4,2,2,3,4,4,3,3,2,2,2,3,3,4,2,4,4,4,4,3,3,2,3,2,2,2,2,3,2,Yes,No,Great focus | Slight fatigue from work
2026-08-19,05:10,Male,Before a meal (empty stomach),07:10,Half-day fast,Yes,No,No,Yes,Yes,No,2,2,4,3,3,3,2,2,2,3,3,1,4,3,3,3,3,3,2,1,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Great focus
2026-08-20,06:10,Male,After a light snack,08:20,No recent fast,No,Yes,Yes,No,Yes,Yes,3,2,1,2,3,2,3,3,2,2,2,3,4,3,4,3,2,2,3,4,1,2,4,4,4,3,4,3,2,3,2,2,4,4,2,2,2,4,3,4,3,4,3,3,4,3,4,3,Yes,No,Steady breathing throughout | Relaxing wind-down session
2026-08-21,06:10,Male,After a light snack,11:20,No recent fast,Yes,Yes,Yes,Yes,No,Yes,3,3,4,3,3,3,4,1,3,3,3,3,2,1,4,3,3,2,2,3,2,4,1,2,4,2,3,3,3,3,3,2,2,3,3,3,3,2,2,3,4,2,4,3,2,4,3,4,Yes,No,"Slight lower-back stiffness | Skipped a few poses, low energy"
2026-08-22,07:05,Male,Before a meal (empty stomach),16:30,No recent fast,Yes,Yes,No,No,No,No,4,3,2,2,2,4,1,3,2,4,3,3,2,2,4,3,3,3,4,1,4,3,3,3,2,4,3,3,3,2,3,4,4,3,2,2,4,2,4,3,2,1,2,4,2,3,3,2,Yes,Yes,Steady breathing throughout
2026-08-23,05:30,Male,Before a meal (empty stomach),10:05,No recent fast,No,Yes,No,Yes,No,Yes,3,2,2,3,3,1,4,3,3,2,2,4,3,3,3,2,3,3,2,2,4,2,4,2,2,2,3,2,3,2,2,2,2,3,3,2,4,2,2,3,2,3,3,3,3,2,1,4,Yes,No,Slight lower-back stiffness | Felt great
2026-08-24,05:45,Male,After a light snack,13:05,No recent fast,Yes,Yes,Yes,No,No,Yes,2,2,2,2,3,1,1,3,2,2,3,3,3,4,3,3,2,2,2,4,3,2,2,3,3,1,2,2,3,3,3,3,2,3,2,4,3,2,2,4,3,3,2,4,2,3,4,3,Yes,Yes,Slight lower-back stiffness
2026-08-26,05:20,Male,After a full meal,06:20,No recent fast,No,No,No,Yes,No,Yes,3,3,4,2,3,1,4,2,1,2,2,3,3,3,4,4,3,1,2,2,2,3,3,2,3,3,3,3,4,3,4,2,3,4,2,2,4,4,3,3,3,3,3,3,4,3,2,3,Yes,No,Good flexibility today | Felt great
2026-08-27,20:05,Male,After a light snack,18:45,No recent fast,No,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,3,2,3,3,2,3,3,3,1,3,3,2,3,1,3,4,3,4,4,3,2,Yes,Yes,Good stretch after desk work
2026-08-28,05:15,Male,After a light snack,15:30,No recent fast,No,No,Yes,No,No,Yes,4,2,4,4,3,3,4,4,4,4,1,3,2,4,2,4,3,3,4,4,3,2,2,2,3,3,1,2,2,3,2,3,3,3,3,2,3,2,4,3,4,1,3,3,2,2,3,3,Yes,No,Slight lower-back stiffness | Good stretch after desk work
2026-08-29,06:30,Male,After a full meal,17:30,No recent fast,No,Yes,Yes,No,No,No,2,4,2,3,2,2,2,3,3,3,3,3,3,3,2,2,3,4,2,3,3,1,3,1,4,2,3,2,4,3,3,3,3,4,3,1,2,3,3,3,3,2,1,2,1,2,1,3,Yes,Yes,Great focus
2026-08-30,06:10,Male,Before a meal (empty stomach),07:00,Full-day fast,Yes,Yes,Yes,Yes,Yes,No,4,3,4,4,2,3,3,3,3,2,2,3,3,3,2,1,1,2,3,3,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Steady breathing throughout
2026-08-31,05:15,Male,Before a meal (empty stomach),09:00,Half-day fast,Yes,No,No,Yes,Yes,Yes,3,3,1,3,3,2,2,4,1,3,2,4,3,2,3,3,2,2,2,3,2,2,1,4,4,3,3,3,4,4,3,4,2,3,2,2,3,3,4,2,3,4,4,3,4,3,2,2,Yes,Yes,"Rushed session, short on time | Slight fatigue from work"
2026-09-01,05:05,Male,After a light snack,08:15,Half-day fast,Yes,No,Yes,Yes,No,Yes,4,3,3,2,2,4,2,4,2,2,3,3,3,4,3,3,3,2,2,2,3,3,2,2,3,4,3,3,2,2,2,1,4,3,1,3,3,3,2,2,2,3,2,3,4,2,3,3,Yes,No,Slight lower-back stiffness
2026-09-02,07:00,Male,After a full meal,21:15,No recent fast,No,Yes,No,Yes,No,Yes,3,4,1,4,1,1,2,3,1,2,2,3,1,3,4,4,3,1,3,3,1,3,3,2,4,3,4,4,2,2,2,2,3,4,2,3,2,3,3,4,2,3,4,3,4,3,2,2,Yes,No,Great focus | Felt great
2026-09-03,05:20,Male,After a light snack,07:30,No recent fast,Yes,Yes,Yes,No,Yes,No,4,2,4,3,3,2,4,3,2,3,3,2,4,1,2,2,4,4,4,2,3,3,4,3,2,3,2,4,3,3,4,1,3,4,2,3,4,3,3,1,2,4,3,2,4,3,3,3,Yes,No,Great focus | Relaxing wind-down session
2026-09-04,06:00,Male,After a full meal,15:45,No recent fast,Yes,Yes,Yes,No,Yes,Yes,2,4,3,3,2,2,3,3,3,2,2,3,3,4,4,1,3,3,3,3,4,2,3,3,2,2,3,1,3,3,3,1,2,2,3,3,2,2,2,4,2,3,4,2,2,4,4,4,Yes,No,Good flexibility today | Slight fatigue from work
2026-09-05,18:10,Male,After a light snack,16:20,Half-day fast,Yes,Yes,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,2,3,3,3,3,3,4,3,3,3,2,3,4,4,3,3,3,2,3,3,4,Yes,No,Relaxing wind-down session
2026-09-06,07:20,Male,After a light snack,21:20,No recent fast,Yes,No,No,Yes,No,Yes,3,2,3,3,2,3,1,4,3,3,3,4,3,1,2,3,3,3,3,3,3,3,3,3,4,3,2,4,2,4,3,2,2,4,3,2,2,3,3,1,1,3,1,2,2,4,4,3,Yes,No,Steady breathing throughout | Felt great
2026-09-07,05:30,Male,Before a meal (empty stomach),11:10,No recent fast,No,Yes,Yes,Yes,Yes,Yes,3,2,3,3,3,2,3,4,1,2,4,2,2,3,2,4,3,3,3,3,3,2,4,3,3,4,4,3,3,2,2,2,2,2,3,3,3,3,3,3,4,4,2,2,2,2,4,3,Yes,No,Good stretch after desk work
2026-09-08,06:15,Male,Before a meal (empty stomach),21:05,No recent fast,Yes,Yes,No,Yes,Yes,No,2,3,4,2,1,2,2,4,3,3,3,3,3,2,3,4,3,3,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Good flexibility today
2026-09-09,,Male,After a light snack,07:15,No recent fast,No,Yes,No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Planned rest day
2026-09-10,06:20,Male,After a full meal,17:45,No recent fast,Yes,Yes,Yes,Yes,Yes,Yes,2,3,2,3,2,2,4,4,3,2,4,4,4,4,4,2,4,2,3,4,3,3,3,3,3,2,1,4,3,3,3,3,4,3,3,3,4,4,2,4,3,3,4,4,3,4,4,3,Yes,No,Steady breathing throughout | Good stretch after desk work
2026-09-12,06:00,Male,After a light snack,16:20,No recent fast,Yes,Yes,Yes,No,Yes,Yes,2,4,3,1,4,2,3,2,3,2,4,2,3,2,2,4,2,3,2,3,2,3,3,1,1,3,3,3,1,2,2,4,3,3,2,2,4,2,2,2,3,4,4,3,3,1,3,3,No,No,Slight lower-back stiffness | Slight fatigue from work
2026-09-13,05:45,Male,After a light snack,17:30,No recent fast,No,No,Yes,Yes,Yes,No,2,3,2,3,4,2,3,2,3,3,2,4,1,4,4,2,3,2,3,3,4,4,2,3,3,3,3,4,4,4,2,4,3,2,3,3,4,3,1,1,2,1,1,4,3,3,3,3,No,Yes,Good flexibility today
2026-09-14,17:10,Male,After a light snack,08:30,No recent fast,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,1,2,3,3,3,2,3,3,2,3,3,2,4,3,4,3,2,2,4,2,4,Yes,No,Relaxing wind-down session
2026-09-15,07:05,Male,After a light snack,19:10,No recent fast,Yes,No,Yes,Yes,Yes,Yes,2,2,2,3,3,2,3,1,4,2,3,3,2,4,4,3,4,3,3,2,3,3,2,1,2,3,1,2,3,1,3,4,4,3,2,2,3,2,2,4,3,2,2,4,4,3,3,3,Yes,No,Steady breathing throughout | Slight fatigue from work
2026-09-16,06:45,Male,Before a meal (empty stomach),06:15,No recent fast,Yes,Yes,No,Yes,Yes,No,3,2,2,4,3,4,4,2,2,1,2,4,3,4,3,3,3,3,3,3,3,1,3,2,2,2,4,3,3,2,2,1,2,3,3,2,2,3,3,3,4,2,2,2,2,2,3,4,Yes,Yes,Steady breathing throughout
2026-09-17,06:45,Male,After a full meal,07:05,Half-day fast,Yes,Yes,Yes,Yes,Yes,No,4,1,3,3,3,2,3,4,2,1,4,4,2,4,2,3,3,3,2,4,1,1,4,3,2,4,4,2,4,1,4,3,3,3,3,3,2,4,2,3,2,3,3,3,3,4,3,2,Yes,No,"Good flexibility today | Skipped a few poses, low energy"
2026-09-18,07:10,Male,Before a meal (empty stomach),19:05,No recent fast,No,Yes,No,Yes,Yes,Yes,3,4,2,3,2,2,1,3,1,4,2,4,3,2,3,2,2,2,2,3,4,3,3,4,4,4,2,4,4,2,3,4,3,4,1,3,4,3,3,2,4,4,3,2,3,2,2,2,Yes,Yes,Great focus | Felt great
2026-09-19,18:45,Male,After a light snack,06:10,Half-day fast,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,3,3,3,2,2,4,3,3,3,3,2,3,3,4,3,2,3,4,2,3,Yes,Yes,Good stretch after desk work
2026-09-20,06:45,Male,Before a meal (empty stomach),11:30,No recent fast,No,Yes,No,No,Yes,Yes,4,2,3,4,2,3,2,4,2,4,2,3,3,4,3,2,2,1,2,2,1,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Slight lower-back stiffness
